n_spins,h,j,estimated_e,estimated_1z,estimated_nz,estimated_xx,estimated_yy,estimated_zz,estimated_m,estimated_zz_mid
10,0.00000,-1.00000,-13.99781,-0.02167,0.01100,0.91166,0.04231,-0.07533,0.01250,-0.05100
10,0.01515,-1.00000,-14.01186,-0.11100,-0.12167,0.89968,0.00442,0.00533,-0.11250,-0.00300
10,0.03030,-1.00000,-14.02523,-0.14033,-0.13200,0.89109,0.00952,-0.03100,-0.12500,-0.01567
10,0.04545,-1.00000,-14.05159,-0.04333,-0.04767,0.88515,0.00807,-0.06233,-0.02500,-0.04467
10,0.06061,-1.00000,-14.03759,0.05700,0.03100,0.88664,0.02096,-0.03000,0.07500,0.00200
10,0.07576,-1.00000,-14.00376,0.03800,0.02233,0.93834,0.04700,-0.08833,0.06250,-0.10800
10,0.09091,-1.00000,-13.97853,0.09800,0.07400,0.95423,0.01593,-0.07800,0.08750,-0.11033
10,0.10606,-1.00000,-13.99012,-0.01800,-0.03167,0.92940,0.03793,-0.08900,0.01250,-0.07567
10,0.12121,-1.00000,-14.07281,-0.04567,-0.00333,0.92001,0.00356,-0.02833,-0.00000,-0.02600
10,0.13636,-1.00000,-14.11311,-0.00500,-0.02400,0.91960,0.00767,-0.04433,0.05000,-0.06300
10,0.15152,-1.00000,-14.20839,-0.08200,-0.07900,0.88830,-0.00461,-0.06167,-0.01250,-0.05900
10,0.16667,-1.00000,-14.37300,-0.06667,-0.03700,0.87317,-0.00201,-0.07233,0.02500,-0.05133
10,0.18182,-1.00000,-13.80266,-0.11733,-0.24600,0.89750,-0.01883,0.04067,-0.01250,-0.01767
10,0.19697,-1.00000,-14.21730,0.03500,0.03433,0.94250,-0.02628,-0.03067,0.11250,-0.05200
10,0.21212,-1.00000,-14.11174,-0.07300,0.00733,1.01150,0.01841,-0.05967,0.03750,-0.08667
10,0.22727,-1.00000,-14.07254,-0.07067,-0.07900,0.93611,0.00125,-0.04100,-0.03750,-0.09567
