n_spins,h,j,estimated_e,estimated_1z,estimated_nz,estimated_xx,estimated_yy,estimated_zz,estimated_m,estimated_zz_mid
10,0.24242,-1.00000,-14.40608,-0.10400,-0.08167,0.89101,-0.01121,-0.06433,0.00000,-0.08233
10,0.25758,-1.00000,-14.37123,-0.04633,-0.06267,0.93634,0.02124,-0.12233,0.03750,-0.11033
10,0.27273,-1.00000,-13.36541,0.14733,0.16533,1.00308,-0.02178,0.01867,0.11250,0.00033
10,0.28788,-1.00000,-14.61603,-0.05667,-0.07567,0.93142,-0.05319,-0.05633,0.02500,-0.05467
10,0.30303,-1.00000,-14.52484,-0.16967,-0.14000,0.84887,-0.01491,-0.02500,-0.03750,-0.02800
10,0.31818,-1.00000,-14.83912,-0.15400,-0.12967,0.91475,-0.00123,-0.10233,-0.03750,-0.08533
10,0.33333,-1.00000,-14.03690,-0.10300,0.18067,1.01002,-0.00837,-0.04700,-0.00000,-0.05400
10,0.34848,-1.00000,-14.49934,0.05800,0.08767,1.00942,-0.06419,-0.06833,0.18750,-0.03833
10,0.36364,-1.00000,-15.00833,-0.04100,-0.05767,0.91404,-0.16664,0.06333,0.05000,0.04300
10,0.37879,-1.00000,-14.96601,-0.03067,-0.02067,0.98503,-0.10979,-0.03933,0.08750,-0.08467
10,0.39394,-1.00000,-15.05058,-0.05033,-0.01600,0.96835,-0.08885,-0.10567,0.11250,-0.11033
10,0.40909,-1.00000,-14.63205,-0.12800,-0.23200,0.99940,-0.01937,-0.01867,-0.10000,-0.06600
10,0.42424,-1.00000,-14.90045,-0.23700,-0.11433,0.84458,-0.01465,-0.05267,-0.06250,-0.06633
10,0.43939,-1.00000,-15.13957,-0.05967,-0.04767,0.96711,-0.10614,-0.08200,0.10000,-0.07700
10,0.45455,-1.00000,-14.93557,-0.06200,0.04933,1.03329,-0.11571,-0.06067,0.11250,-0.10000
10,0.46970,-1.00000,-19.12248,-0.19567,-0.13767,0.89816,-0.19149,-0.09133,0.01250,-0.06200
10,0.48485,-1.00000,-14.85539,-0.05200,-0.08767,1.00144,-0.09301,-0.06700,0.10000,-0.07967
10,0.50000,-1.00000,-15.22258,0.05933,0.02267,1.03541,-0.10952,-0.12467,0.20000,-0.05567
10,0.51515,-1.00000,-15.75263,-0.21200,-0.25633,0.88299,-0.06338,-0.04633,-0.03750,-0.11200
10,0.53030,-1.00000,-15.80078,-0.34000,-0.30733,0.76429,-0.06083,0.06600,-0.13750,-0.04933
10,0.54545,-1.00000,-19.18934,-0.30200,-0.16567,0.85022,-0.18883,-0.00433,0.06250,-0.13400
10,0.56061,-1.00000,-19.39654,-0.23133,-0.37600,0.96951,-0.21437,-0.01533,-0.08750,-0.12233
10,0.57576,-1.00000,-16.03090,-0.28133,-0.23700,0.84846,-0.11231,0.04433,-0.08750,-0.05600
10,0.59091,-1.00000,-15.75508,-0.19900,-0.22300,0.90470,-0.04030,-0.09533,-0.05000,-0.12500
10,0.60606,-1.00000,-15.97074,-0.13033,-0.14033,0.93153,-0.13040,-0.08400,0.05000,-0.10533
10,0.62121,-1.00000,-16.01802,-0.04167,-0.14867,1.01543,-0.14127,-0.09300,0.08750,-0.11167
10,0.63636,-1.00000,-15.80418,-0.09667,-0.13667,0.97822,-0.13839,-0.09000,0.07500,-0.13900
10,0.65152,-1.00000,-15.65871,-0.14633,-0.08733,0.98926,-0.08399,-0.13433,0.06250,-0.13267
10,0.66667,-1.00000,-17.07106,-0.22233,-0.22467,0.84078,-0.16688,-0.00500,-0.03750,-0.03500
10,0.68182,-1.00000,-14.58837,0.00433,-0.31000,1.05211,-0.04015,-0.06433,0.02500,-0.08667
10,0.69697,-1.00000,-16.58161,-0.37800,-0.32067,0.77684,-0.11515,0.10067,-0.16250,-0.03000
10,0.71212,-1.00000,-16.62607,-0.07000,0.01000,1.09841,-0.25915,-0.08733,0.16250,-0.13800
10,0.72727,-1.00000,-16.80799,-0.17233,-0.14067,1.02917,-0.13917,-0.12433,0.06250,-0.13733
10,0.74242,-1.00000,-16.54011,-0.11567,-0.19333,1.02404,-0.21748,-0.03033,0.02500,-0.08200
10,0.75758,-1.00000,-16.48050,-0.26167,-0.27767,0.84637,-0.04921,-0.04467,-0.07500,-0.12167
10,0.77273,-1.00000,-17.14790,-0.10633,-0.21733,0.97749,-0.18671,-0.07833,0.05000,-0.10867
10,0.78788,-1.00000,-17.36102,-0.31867,-0.24600,0.82550,-0.12170,0.00533,-0.08750,-0.01467
10,0.80303,-1.00000,-15.95596,-0.13233,-0.10300,1.19300,-0.18016,-0.01800,0.02500,-0.07867
10,0.81818,-1.00000,-16.62700,-0.08500,-0.13100,1.06881,-0.22090,-0.09333,0.11250,-0.12100
10,0.83333,-1.00000,-16.71083,-0.29700,-0.25367,0.78315,-0.08116,-0.04267,-0.03750,-0.13933
10,0.84848,-1.00000,-17.18194,-0.19167,-0.19867,1.00770,-0.22220,-0.03100,0.05000,-0.11933
10,0.86364,-1.00000,-17.47084,-0.28167,-0.27600,0.82906,-0.09958,-0.02633,-0.07500,-0.08667
10,0.87879,-1.00000,-16.56767,-0.30433,-0.33333,1.10796,-0.20512,0.07167,-0.03750,-0.10133
10,0.89394,-1.00000,-18.38587,-0.37000,-0.43933,0.46152,-0.04835,0.06933,-0.25000,-0.06267
10,0.90909,-1.00000,-15.89730,0.30800,-0.34333,1.03991,-0.09701,-0.16067,-0.07500,-0.07867
10,0.92424,-1.00000,-21.87942,-0.12667,-0.24267,1.04013,-0.37019,-0.07133,-0.06250,-0.09533
10,0.93939,-1.00000,-18.06581,-0.24967,-0.27800,0.95257,-0.22814,0.01833,-0.02500,-0.07933
10,0.95455,-1.00000,-18.58184,-0.19600,-0.16100,1.02551,-0.26921,-0.03633,0.03750,-0.07167
10,0.96970,-1.00000,-18.43242,-0.13733,-0.17967,1.20202,-0.41715,-0.00967,0.11250,-0.05600
10,0.98485,-1.00000,-16.76739,-0.09667,-0.03133,1.13935,-0.29638,-0.05867,0.12500,-0.06833
10,1.00000,-1.00000,-16.30141,-0.50933,0.34700,0.90981,-0.09125,-0.25033,-0.05000,-0.12367
10,1.01515,-1.00000,-19.29009,-0.30467,-0.35967,1.18864,-0.34943,0.06900,-0.07500,-0.07767
10,1.03030,-1.00000,nan,nan,nan,nan,nan,nan,nan,nan
10,1.04545,-1.00000,-18.92852,-0.15900,-0.26467,0.90308,-0.27559,-0.06367,-0.02500,-0.13733
10,1.06061,-1.00000,-17.98531,-0.15100,-0.13067,1.27415,-0.41594,-0.00967,0.13750,-0.07167
10,1.07576,-1.00000,-20.85502,-0.28933,-0.19100,0.83587,-0.29713,-0.03967,-0.07500,-0.10767
10,1.09091,-1.00000,-19.37404,-0.29467,-0.24967,1.01977,-0.32888,0.02367,-0.03750,-0.08500
10,1.10606,-1.00000,-17.86547,-0.26600,-0.18300,0.97381,-0.19076,-0.09500,0.02500,-0.14167
10,1.12121,-1.00000,-20.11061,-0.18367,-0.21500,0.92204,-0.30292,-0.06200,-0.02500,-0.09033
10,1.13636,-1.00000,-18.41643,-0.17367,-0.20500,1.13495,-0.33829,-0.06733,0.06250,-0.12333
10,1.15152,-1.00000,-22.92771,-0.22767,-0.07867,1.25052,-0.49039,-0.10033,0.01250,-0.09033
10,1.16667,-1.00000,-19.75696,-0.20567,-0.43333,1.18551,-0.31045,0.05500,-0.12500,-0.05600
10,1.18182,-1.00000,-19.30059,-0.22533,-0.25833,0.97314,-0.24778,-0.04433,0.01250,-0.16300
10,1.19697,-1.00000,-20.68221,-0.27467,-0.23967,0.91405,-0.33931,0.02500,0.00000,-0.07767
10,1.21212,-1.00000,nan,nan,nan,nan,nan,nan,nan,nan
10,1.22727,-1.00000,-20.01170,-0.39333,-0.27500,0.77343,-0.19000,-0.00833,-0.11250,-0.10700
10,1.24242,-1.00000,-20.05309,-0.17500,-0.29667,1.03620,-0.33261,-0.07300,0.02500,-0.12967
10,1.25758,-1.00000,-18.55994,-0.20300,-0.08167,1.31313,-0.42676,-0.11733,0.18750,-0.20667
10,1.27273,-1.00000,nan,nan,nan,nan,nan,nan,nan,nan
10,1.28788,-1.00000,-19.09745,-0.15167,-0.20933,1.03123,-0.29331,-0.07167,0.08750,-0.11033
10,1.30303,-1.00000,-19.22395,-0.23233,-0.25967,1.03686,-0.28809,-0.06067,0.03750,-0.16600
10,1.31818,-1.00000,-22.10264,-0.44700,-0.41967,0.60472,-0.19887,0.09133,-0.18750,-0.04700
10,1.33333,-1.00000,-21.82550,-0.26600,-0.31200,0.66809,-0.19349,-0.01533,-0.13750,-0.06133
10,1.34848,-1.00000,-16.61538,0.39600,0.21167,1.26209,-0.37789,0.09633,0.05000,-0.03167
10,1.36364,-1.00000,-23.55911,-0.53200,-0.43200,1.12702,-0.43655,0.16933,-0.08750,-0.10733
10,1.37879,-1.00000,-19.86460,-0.37633,-0.42633,0.80351,-0.17017,0.05667,-0.07500,-0.12133
10,1.39394,-1.00000,-19.42381,-0.26900,-0.31867,0.86727,-0.20788,-0.02367,0.01250,-0.14933
10,1.40909,-1.00000,-13.25409,-0.21133,-0.13333,0.96584,-0.03258,0.06067,0.01250,-0.01833
10,1.42424,-1.00000,nan,nan,nan,nan,nan,nan,nan,nan
10,1.43939,-1.00000,-17.59416,-0.42633,0.16767,1.15510,-0.24431,-0.12867,-0.06250,-0.09867
10,1.45455,-1.00000,-20.01417,-0.27500,-0.29933,1.07377,-0.37086,-0.01367,0.01250,-0.15033
10,1.46970,-1.00000,-17.70018,-0.42567,-0.45133,1.04737,-0.31407,0.17233,0.00000,-0.12233
10,1.48485,-1.00000,-20.23728,-0.32867,-0.13467,1.59699,-0.62147,-0.00200,0.05000,-0.11600
